"","address","total"
"1","Atlanta, GA",214
"2","Raleigh, NC",72
"3","Lafayette, LA",53
"4","Cookeville, TN",42
"5","Vero Beach, FL",29
"6","San Juan, PR",26
"7","Fairhope, AL",25
"8","Yazoo City, MS",22
"9","Baton Rouge, LA",18
"10","NA, NA",17
"11","Columbia, NC",16
"12","Tyler, TX",15
"13","Madison, MS",15
"14","Midway, FL",15
"15","Panama City, FL",13
"16","Jackson, MS",13
"17","Chiefland, FL",13
"18","Auburn, AL",13
"19","Tallulah, LA",12
"20","Boqueron, PR",11
"21","Columbia, MO",11
"22","DeLand, FL",11
"23","Daphne, AL",10
"24","Augusta, AR",9
"25","Charleston, SC",8
"26","Winterville, NC",8
"27","Athens, GA",7
"28","Monticello, FL",7
"29","DeWitt, AR",7
"30","Farmerville, LA",7
"31","Stanton, TN",7
"32","Brandon, MS",7
"33","Vicksburg, MS",6
"34","Davie, FL",6
"35","Ridgeland, MS",5
"36","Conway, AR",5
"37","Manteo, NC",5
"38","Sanibel, FL",5
"39","Boynton Beach, FL",5
"40","Swanquarter, NC",4
"41","St. Charles, AR",3
"42","Springville, TN",3
"43","Decatur, AL",3
"44","Jacksonville, FL",3
"45","New Orleans, LA",3
"46","Grenada, MS",3
"47","St. Marks, FL",3
"48","Asheville, NC",3
"49","Titusville, FL",3
"50","Crossett, AR",3
"51","Tupelo, MS",2
"52","Lacombe, LA",2
"53","Hardeeville, SC",2
"54","Miami, FL",2
"55","Frankfort, KY",2
"56","Georgetown, SC",2
"57","Hadley, MA",2
"58","Altamonte Springs, FL",2
"59","Wadmalaw Island, SC",2
"60","Marksville, LA",1
"61","Natchitoches, LA",1
"62","Hollandale, MS",1
"63","Townsend, GA",1
"64","Gulf Shores, AL",1
"65","Groveland, FL",1
"66","Tallahassee, FL",1
"67","Tuscaloosa, AL",1
"68","Gautier, MS",1
"69","Key Largo, FL",1
"70","Round Oak, GA",1
"71","Eufaula, AL",1
"72","Crystal River, FL",1
"73","Big Pine Key, FL",1
"74","Cruger, MS",1
"75","McBee, SC",1
"76","Immokalee, FL",1
"77","Hollywood, SC",1
"78","Folkston, GA",1
"79","Bossier City, LA",1
"80","Moss Point, MS",1
"81","Dyersburg, TN",1
"82","Cookeville, AR",1
"83","Orangeburg, SC",1
"84","Edenton, NC",1
"85","Welaka, FL",1
