"","Ego","Alter","Organization","Budget and Administration","Landscape","Permitting","Science","Other","Other Area","Nature"
"1","Amy Keister","Gretchen Ehlinger","USACE",0,1,0,0,0,NA,"Collaboration"
"2","Amy Keister","Fred Sklar","South Florida Water Management District",0,1,0,0,0,NA,"Collaboration"
"3","Amy Keister","Agnes McLean","National Park Service",0,1,0,0,0,NA,"Collaboration"
"4","Amy Keister","Allyn Childress","DOI Office of Everglades Restoration Initiatives",0,1,0,1,0,NA,"Collaboration"
"5","Amy Keister","Nick Aumen","USGS",0,0,0,1,0,NA,"Coordination"
"6","Amy Keister","Frank Mazzotti (UF Croc Docs)","University of Florida",0,0,0,1,0,NA,"Collaboration"
"7","Amy Keister","Hardin Waddle","USGS",0,0,0,1,0,NA,"Collaboration"
"8","Anne Mini","Pat Jodice","USGS, SCCFWLRU",0,0,0,1,1,"GoMMAPPS Seabird Project (BOEM funded)","Collaboration"
"9","Anne Mini","Mark Woodrey","MS State Univ.",0,0,0,1,0,NA,"Coordination"
"10","Anne Mini","TJ Zenzal","USGS",0,0,0,1,0,NA,"Coordination"
"11","Anne Mini","Auriel Fournier","Ill Nat History Survey, Forbes Biol Res Station",0,0,0,1,0,NA,"Coordination"
"12","Anne Mini","Evan Adams","BRI",0,0,0,1,0,NA,"Coordination"
"13","Anne Mini","Kara Fox","Nat Audubon Society",0,0,0,1,0,NA,"Coordination"
"14","Anne Mini","Peter Frederick","Univ of FL",0,0,0,1,0,NA,"Coordination"
"15","Anne Mini","Janell Brush","Florida Fish and WL Conserv Comm",0,0,0,1,0,NA,"Coordination"
"16","Anne Mini","Jim Lyons","USGS Patuxent WLRC",0,0,0,1,0,NA,"Coordination"
"17","Anne Mini","Bob Cooper","Univ of GA",0,0,0,1,0,NA,"Coordination"
"18","Anne Mini","Andrew Cox","Florida Fish and WL Conserv Comm",0,0,0,1,1,"Gulf Restoration (birds)- FL and Regionwide TIGs","Coordination"
"19","Anne Mini","Rob Dobbs","LA Dept WL & Fisheries",0,0,0,1,1,"Gulf Restoration (birds)- LA and Regionwide TIGs","Coordination"
"20","Anne Mini","Jessica Schulz","Ducks Unlimited",0,0,0,1,0,NA,"Coordination"
"21","Anne Mini","Abby Powell","Univ of FL",0,0,0,1,1,"Gulf Restoration (birds)- restoration science","Coordination"
"22","Anne Mini","Jenny Litz","NOAA",0,0,0,1,1,"GoMMAPPS Project- cross taxa coordination","Coordination"
"23","Beth Stys","Amity Bass","Louisiana Department of Wildlife & Fisheries",0,1,0,1,0,NA,"Collaboration"
"24","Beth Stys","Dan Figert","Kentucky Department of Fish & Wildlife Resources",0,1,0,0,0,NA,"Collaboration"
"25","Beth Stys","Andrew Cox","Florida Fish & Wildlife Conservation Commission",0,1,0,1,0,NA,"Collaboration"
"26","Beth Stys","Seth Blitch","TNC",0,1,0,0,0,NA,"Collaboration"
"27","Beth Stys","Darryl Boudreau","Northwest Florida Water Management District",0,1,0,0,0,NA,"Collaboration"
"28","Beth Stys","Vernon Compton","The Longleaf Alliance",0,1,0,0,0,NA,"Collaboration"
"29","Beth Stys","Salem Saloom","Private Landowner",0,1,0,0,0,NA,"Coordination"
"30","Beth Stys","Kristine Evans","Mississippi State University",0,0,0,1,0,NA,"Collaboration"
"31","Beth Stys","Claude Jenkins","Alabama Wildlife Federation",0,1,0,1,0,NA,"Collaboration"
"32","Beth Stys","Ed Penny","Ducks Unlimited",0,1,0,0,0,NA,"Coordination"
"33","Beth Stys","John Gruchy","Mississippi Dept of Fish, Wildlife & Parks",0,1,0,0,0,NA,"Collaboration"
"34","Beth Stys","Steve Chapman","National Bobwhite Conservation Initiative",0,1,0,0,0,NA,"Collaboration"
